ID	Проект «Управление профилем поле ввода номаре телефона»	Тестировщик Малыш Ольга, Google Chrom версия 102.0.5005.115 (Официальная сборка), (64 бит), 10.08.2022	 Коментарий
1	Ввести валидный номер телефона +79501908463	                                                                                                                 Passed	
2	Ввести не валидный номер телефона с «-»79501908463                                                                                                             	 Passed	
2	Ввести не валидный номер телефона без «+», то есть 79501908463                                      	                                                         Passed	
3	Ввести не валидный номер телефона без «+» и кода страны «7», то есть 9501908463	                                                                                 Passed	
4	Оставить поле номера телефона пустым	                                                                                                                         Passed	
5	Ввести не валидный номер телефона с буквами латиница +79501908ааа	                                                                                         Passed	
6	Ввести не валидный номер телефона с символами +79501908***	                                                                                                 Passed	
7	Ввести не валидный номер телефона большое значение +79501908463999999999999999999999999	                                                                         Passed	
8	Ввести не валидный номер телефона маленькое значение +795019	                                                                                                 Passed	
9	Ввести не валидный номер телефона с буквами кириллица +79501908ыыы	                                                                                         Passed	
10	Ввести команду html маленькие буквы select* в поле номера телефона	                                                                                         Passed	
11	Ввести команду html большие буквы SELECT* в поле номера телефона	                                                                                         Passed	
12	Ввести команду Java ,  большие буквы {SCRIPT} в поле номера телефона	                                                                                         Passed	
13	Ввести команду Java ,  маленькие буквы {script} в поле номера телефона	                                                                                         Passed	

